Name,Position,Company,Country,Speaker_Profile_URL
Okan Ozaltin,CPO,10x Banking,UNITED KINGDOM,https://asia.money2020.com/program/speakers/okan-ozaltin-s101-91842
Henry Patishman,Executive Vice President,Regula,LATVIA,https://asia.money2020.com/program/speakers/henry-patishman-s101-92058
Maria Peralta,"Director, SMB Acceptance Solutions",Visa,SINGAPORE,https://asia.money2020.com/program/speakers/maria-peralta-s101-92829
Samantha Pidoux,Communities Project Manager,Money20/20,UNITED KINGDOM,https://asia.money2020.com/program/speakers/samantha-pidoux-s101-92828
Rishi Raithatha,"Director, Data & Insights, Mobile Money",GSMA,UNITED KINGDOM,https://asia.money2020.com/program/speakers/rishi-raithatha-s101-92269
Priya Rajan,Founder & CEO,StageZeroAI,UNITED STATES,https://asia.money2020.com/program/speakers/priya-rajan-s101-95118
Kartik Ramachandran,Founder & CEO,Corestrat,SINGAPORE,https://asia.money2020.com/program/speakers/kartik-ramachandran-s101-91884
Sati Rasuanto,Co-Founder & President,VIDA,INDONESIA,https://asia.money2020.com/program/speakers/sati-rasuanto-s101-91518
Zokhir Rasulov,Chief Digital Officer,ABA Bank,CAMBODIA,https://asia.money2020.com/program/speakers/zokhir-rasulov-s101-92144
Farrah Harriet Ratnaike,Regional Head Risk Strategy & Operations,Grab,SINGAPORE,https://asia.money2020.com/program/speakers/farrah-harriet-ratnaike-s101-91891
Craig Robertson,Financial Crime and Compliance Expert,SymphonyAI,SINGAPORE,https://asia.money2020.com/program/speakers/craig-robertson-s101-91508
Dwaipayan Sadhu,Chief Executive Officer,Trust Bank Singapore,SINGAPORE,https://asia.money2020.com/program/speakers/dwaipayan-sadhu-s101-91458
Georgios Samakovitis,Professor of FinTech,University of Greenwich,UNITED KINGDOM,https://asia.money2020.com/program/speakers/georgios-samakovitis-s101-92102
Aries Setadi,Executive Director,Indonesia Fintech Association (AFTECH),INDONESIA,https://asia.money2020.com/program/speakers/aries-setadi-s101-92119
Hakob Sharabkhanyan,Chief Technology Officer,"MessageSpring, Inc",UNITED STATES,https://asia.money2020.com/program/speakers/hakob-sharabkhanyan-s101-91516
Rakhi Shrivastava,"Senior Lead, Business Product Owner",Partior,SINGAPORE,https://asia.money2020.com/program/speakers/rakhi-shrivastava-s101-95099
Scarlett Sieber,Chief Strategy & Growth Officer,Money20/20,UNITED STATES,https://asia.money2020.com/program/speakers/scarlett-sieber-s101-92827
Nigel Singh,Global Head of Wealth Solutions,ViewTrade,AUSTRALIA,https://asia.money2020.com/program/speakers/nigel-singh-s101-91922
Puneet Sinha,Founder,DataKlout AI Solutions,INDIA,https://asia.money2020.com/program/speakers/puneet-sinha-s101-91510
Pitcha Siriyaphan,"Head of Payments, Thailand",J.P. Morgan Payments,THAILAND,https://asia.money2020.com/program/speakers/pitcha-siriyaphan-s101-91881
Irene Skrynova,Chief Customer Officer,Unlimit,UNITED KINGDOM,https://asia.money2020.com/program/speakers/irene-skrynova-s101-91507
Yaron Slutzky,CSO,Agoda,THAILAND,https://asia.money2020.com/program/speakers/yaron-slutzky-s101-91867
Nic Smalle,Partner,Apis Partners,SINGAPORE,https://asia.money2020.com/program/speakers/nic-smalle-s101-92050
Ren Chang Soo,"Head, Risk Strategy, Innovation & Culture",Independant,MALAYSIA,https://asia.money2020.com/program/speakers/ren-chang-soo-s101-95153
Ian Sorbello,Principal Architect,Transmit Security,AUSTRALIA,https://asia.money2020.com/program/speakers/ian-sorbello-s101-91502
Nicholas Stipp,Vice President Services Partnerships,Mastercard,SINGAPORE,https://asia.money2020.com/program/speakers/nicholas-stipp-s101-92118
Aditi Subbarao,Global FS & Strategic Partnerships Lead,Instabase,UNITED KINGDOM,https://asia.money2020.com/program/speakers/aditi-subbarao-s101-92701
Ram Sundaram,Co-founder & Chief Operating Officer,TerraPay,UNITED KINGDOM,https://asia.money2020.com/program/speakers/ram-sundaram-s101-91833
Jennifer Sung,Director,Stride Ventures,SINGAPORE,https://asia.money2020.com/program/speakers/jennifer-sung-s101-92043
Sean Tan,Regional VP,Alibaba,HONG KONG SAR,https://asia.money2020.com/program/speakers/sean-tan-s101-91851
